,codes,names
1959,CTV,CTCP Đầu tư - Sản xuất và Thương mại Việt Nam
1960,Cty479,CTCP 479
1961,CTYCN2,Công ty TNHH MTV Cấp nước số 2
1962,CVC,CTCP Cơ điện Vật tư
1963,CVS,CTCP Chứng khoán CV
1964,CXC,CTCP Cầu Xây
1965,CZC,CTCP Than Miền Trung
1966,D26,CTCP Quản lý và Xây dựng Đường bộ 26
1967,DAB,Ngân hàng TMCP Đại Á
1968,DaBinhDinh,CTCP VRG Đá Bình Định
1969,DaGiayHaiPhong,CTCP Da Giầy và Phát triển Hải Phòng
1970,DaGiayVietNam,CTCP Da Giầy Việt Nam
1971,DaichiLife,Công ty Bảo hiểm Nhân thọ Dai-Ichi Việt Nam
1972,DaiMo,CTCP Cơ khí Xây dựng Đại Mỗ
1973,DaiNam,Văn Phòng Thám Tử Điều Tra - Theo Dõi Đại Nam
1974,DaiNamAudit,Công ty TNHH Kiểm toán và Giải pháp Công nghệ Thông tin Đại Nam
1975,DaiTinAudit,Công ty TNHH Kiểm toán Đại Tín
1976,DAN,CTCP Dược Danapha
1977,DaNangXD,CTCP Xây dựng Công trình Giao thông Đà Nẵng
1978,DANATEX,CTCP Dệt Hòa Khánh - Đà Nẵng
1979,DaTayDo,CTCP Da Tây Đô
1980,DATC,Công ty TNHH MTV Mua bán nợ Việt Nam
1981,DatVang,CTCP Sông Đà - Đất Vàng
1982,DauTuHaNoi,CTCP Thương mại và Đầu tư TIC Hà Nội
1983,DBF,CTCP Lương thực Đông Bắc
1984,DCC,CTCP Xây dựng Công nghiệp (DESCON)
1985,DCD,CTCP Du lịch và Thương mại DIC
1986,DCPA,Công ty TNHH Tư vấn DCPA
1987,DDS,CTCP Chứng khoán AIS
1988,Deloitte,Công ty TNHH Deloitte Việt Nam
1989,DeltaAgf,CTCP Đầu tư và Xây dựng Delta AGF
1990,DeltaCorp,CTCP Đầu tư Châu Thổ
1991,DeltaTower,CTCP Cảnh Hưng Hải Thành
1992,DetHaDong,CTCP Dệt Hà Đông
1993,DetPhongPhu,CTCP Dệt vải Phong Phú
1994,DetVinhPhu,CTCP Dệt Vĩnh Phú
1995,DeutscheBank,Ngân hàng Deutsche Việt Nam
1996,DFK,Công ty TNHH Kiểm toán DFK Việt Nam
1997,DFS,CTCP Chế biến Xuất nhập khẩu Nông sản Thực phẩm Đồng Nai
1998,DFVN,Công ty TNHH MTV Quản lý Quỹ Dai-Ichi Life Việt Nam
1999,DGL,CTCP Hóa chất Đức Giang - Lào Cai
2000,DHI,CTCP In Diên Hồng
2001,DHL,CTCP Cơ khí Vận tải Thương mại Đại Hưng
2002,DIAOC3,CTCP Xây dựng và Kinh doanh Địa Ốc III
2003,DIAOC8,CTCP Địa ốc 8
2004,DiaOcGiaDinh,CTCP Đầu tư Địa ốc Gia Định
2005,DIC1,CTCP Xây dựng Đô thị và Khu công nghiệp
2006,DICThanhBinh,CTCP Đầu tư Phát triển Xây dựng Thanh Bình
2007,DienLucDaNang,CTCP Thủy điện Điện Lực Đà Nẵng
2008,DienNuocHaNoi,CTCP Xây dựng Lắp máy Điện nước Hà Nội
2009,DienThuBon,CTCP Thủy điện Thu Bồn
2010,Diginet,CTCP Định Gia Nét
2011,DinhThien,Công Ty TNHH Thương mại Dịch vụ Kỹ thuật Đỉnh Thiên
2012,DKP,CTCP Dược Khoa
2013,DLBD,CTCP Du lịch Bưu điện
2014,DLC,CTCP Du lịch Cần Thơ
2015,DLTHUDUC,Công ty TNHH MTV Dịch vụ Du lịch Thủ Đức
2016,DLV,CTCP Du lịch Việt Nam - VITOURS
2017,DLX,CTCP Delex Việt Nam
2018,DMCSouth,CTCP Hóa phẩm Dầu khí DMC - Miền Nam
2019,DMH,CTCP Dược Minh Hải
2020,DMTC,CTCP Khoan và Dịch vụ Kỹ thuật Khai thác Mỏ
2021,DNF,CTCP Lương thực Đà Nẵng
2022,DNG,CTCP Lắp máy Điện nước và Xây dựng
2023,DNPAudit,Công ty TNHH Kiểm toán - Tư vấn Tài chính D.N.P
2024,DNSE,CTCP Chứng khoán Đại Nam
2025,DNTD,CTCP Thiết kế Viễn thông Tin học Đà Nẵng
2026,DNV,CTCP Thương mại Dịch vụ VDA Đà Nẵng
2027,Domenal,CTCP Domenal
2028,Donatraco,CTCP Sản xuất Thương mại Dịch vụ Đồng Nai
2029,DongABank,Ngân hàng TMCP Đông Á
2030,DongACapital,Công ty TNHH Quản lý Quỹ đầu tư Chứng khoán Đông Á
2031,DongAnhSteel,CTCP Kết cấu Thép Xây dựng
2032,DongASecurities,Công ty TNHH MTV Chứng khoán Ngân hàng Đông Á
2033,DongDuong,Công ty TNHH Kiểm toán Đông Dương
2034,DongLong,Công ty TNHH Vận tải biển Đông Long
2035,DongNam,Công ty TNHH Kiểm toán Đông Nam
2036,DongPhuongAudit,Công ty TNHH Tư vấn Tài chính và Kiểm toán Đông Phương
2037,DongTam,CTCP Đồng Tâm
2038,DongTauAnPhu,CTCP Đóng Tàu An Phú
2039,DongThang,Công ty TNHH Kiểm toán Đồng Thắng
2040,DongThapTourist,CTCP Du lịch Đồng Tháp
2041,DongTien,CTCP Đồng Tiến
2042,DongXanh,CTCP Đồng Xanh
2043,DOPHARMA,CTCP Dược phẩm TW 2
2044,DoThi18,CTCP Đầu tư Hạ tầng 18
2045,DothiGialai,CTCP Công trình Đô thị Gia Lai
2046,DoThiGiaLam,CTCP Môi trường Đô thị Gia Lâm
2047,DSVN,Tổng Công ty Đường sắt Việt Nam
2048,DT319,CTCP Đầu tư và Thương mại 319
2049,DTF,CTCP Thực phẩm và Nước giải khát Dona New Tower
2050,DTH,CTCP Dược Vật tư Y Tế Thanh Hóa
2051,DTLAuditing,Công ty TNHH Kiểm toán D.T.L
2052,DTN,CTCP Diêm Thống Nhất
2053,DTS,CTCP Dịch vụ Du lịch Đà Lạt
2054,DTSC,CTCP Chứng khoán Delta
2055,DucAnhAudit,Công ty TNHH Kiểm toán Quốc tế Đức - Anh
2056,DucKhai,Công ty TNHH Thương mại Thiết bị Điện Đức Khải
2057,DucTanLong,CTCP Đúc Tân Long - Constrexim
2058,DuLichDaNang,CTCP Du lịch Đà Nẵng
2059,DULICHKHANHHOA,CTCP Du lịch Khánh Hòa
2060,DuLichTaCu,CTCP Du lịch Núi Tà Cú
2061,DuLichThanhBinh,CTCP Du lịch Thanh Bình
2062,DuLichThanhHoa,CTCP Du lịch Thanh Hóa
2063,DuLichThuongMai,CTCP Du lịch và Thương mại Vinacomin
2064,DuocBaoChau,CTCP Tập đoàn Dược Bảo Châu
2065,DuocDomedic,CTCP Y Dược Domedic
2066,DuocICA,CTCP Công nghệ sinh học Dược phẩm ICA
2067,DuocLieuTW2,CTCP Dược Liệu Trung ương 2
2068,DuocNamHa,CTCP Dược phẩm Nam Hà
2069,DuocPham32,CTCP Dược phẩm 3/2
2070,DuocTanPhat,CTCP Dược - Trang Thiết bị Y Tế Tân Phát
2071,DuocYenBai,CTCP Dược phẩm Yên Bái
2072,DuongBo234,CTCP Quản Lý và Xây dựng Đường bộ 234
2073,DuongBoDakLak,Công ty TNHH MTV Quản Lý và Sửa Chữa Đường bộ Đắk Lắk
2074,DuongCanTho,CTCP Mía đường Cần Thơ
2075,DuongLaNga,CTCP Mía đường La Ngà
2076,DuongSatPhiaNam,CTCP Đường sắt Phía Nam
2077,DuongSocTrang,CTCP Mía đường Sóc Trăng
2078,DuyHoang07,CTCP Duy Hoàng 07
2079,DVCCBinhDuong,CTCP Xây dựng và Dịch vụ Công Cộng Bình Dương
2080,DVD,CTCP Dược phẩm Viễn Đông
2081,DVH,CTCP Chế tạo Máy điện Việt Nam - Hungari
2082,DVSC,CTCP Chứng khoán Đại Việt
2083,DVVTKHANHHOA,CTCP Khai thác Bến xe và Dịch vụ Vận tải Khánh Hòa
2084,E1SSHN30,Quỹ ETF SSIAM HNX30
2085,EasternAudit,Công ty TNHH Kiểm toán Phương Đông
2086,ECC,CTCP Chứng khoán Euro Capital
2087,ECOVIS,Công ty TNHH ECOVIS STT Việt Nam
2088,Eden,CTCP Ê Đen
2089,EDL-Gen,Công ty Phát Điện Lào
2090,EDX,CTCP Tập đoàn EDX
2091,EIFMC,Công ty TNHH Quản lý Quỹ Eastspring Investments
2092,EJung,Công ty TNHH Kiểm toán E-JUNG
2093,ELINCO,CTCP Điện tử Tin học Hóa chất
2094,ENF,Quỹ đầu tư Năng động Eastspring Investments Việt Nam
2095,ErnstYoung,Công ty TNHH Ernst & Young Việt Nam
2096,ETCC,CTCP Cáp và Thiết bị Viễn Thông
2097,Eurowindow,CTCP Cửa sổ Nhựa Châu Âu
2098,EVN,Tập đoàn Điện lực Việt Nam
2099,Eximland,CTCP Bất động sản Exim
2100,FAC,Công ty TNHH Kiểm toán FAC
2101,FACOM,Công ty TNHH Kiểm toán và Tư vấn Tài chính Việt Nam
2102,FADACO,Công ty TNHH Kiểm toán và Tư vấn Đầu tư Tài chính Châu Á
2103,Falcon,CTCP Vận tải Dầu khí Việt Nam
2104,FanansaFund,Công ty Quản lý Quỹ Finansa
2105,FBT,CTCP Xuất nhập khẩu Lâm Thủy sản Bến Tre
2106,FCB,Ngân hàng TMCP Đệ Nhất
2107,FDT,CTCP FIDITOUR
2108,FECREDIT,Công ty Tài chính TNHH MTV Ngân hàng Việt Nam Thịnh Vượng
2109,FENB,Ngân hàng Far East National Bank Chi nhánh Thành phố Hồ Chí Minh
2110,FHH,CTCP Đầu tư Kinh doanh Phát triển Bất Động Sản FLCHOMES
2111,FIS,CTCP Hệ thống Thông tin FPT
2112,Foodinco,Tổng Công ty cổ phần Đầu tư và Xuất nhập khẩu Foodinco
2113,Formach,CTCP Formach
2114,FPC,CTCP Full Power
2115,FPTCapital,CTCP Quản lý Quỹ Đầu tư FPT
2116,FPTTrading,CTCP Thương mại FPT
2117,FritHue,CTCP Frit Huế
2118,FSS,CTCP Giải pháp Phần mềm Tài chính
2119,FTV,CTCP Công nghiệp Ngũ kim Fortress Việt Nam
2120,Fullhouse,Công ty TNHH Nhà nước MTV Đầu tư và Du lịch Huế
2121,GachThaiBinh,CTCP Gạch ốp lát Thái Bình
2122,GAFC,Công ty TNHH Kiểm toán và Tư vấn Tài chính Toàn cầu
2123,GANGTHEPLAOCAI,CTCP Đầu tư Gang thép Lào Cai - Vimico
2124,GaoXKTN,Nhà máy Gạo Xuất khẩu Tây Ninh
2125,GBS,CTCP Chứng khoán Golden Bridge Việt Nam
2126,GCC,CTCP Văn hóa Tổng hợp Bến Thành
2127,GDC,CTCP Xuất nhập khẩu Gia Định
2128,GEC,CTCP Cơ khí Gang Thép
2129,Gefoseco,CTCP Thực phẩm và Dịch vụ Tổng hợp
2130,Geleximco,CTCP Xuất nhập khẩu Tổng hợp Hà Nội
2131,Gelimex,CTCP Điện máy và Kỹ thuật Công Nghệ
2132,Generalimex,CTCP Xuất nhập khẩu Tổng hợp II
2133,Genesis,CTCP Quản lý quỹ Genesis
2134,Genexim,CTCP Vật tư Tổng hợp Thành phố Hồ Chí Minh
2135,GENIMEX,CTCP Lâm sản và Xuất nhập khẩu Tổng hợp Bình Dương
2136,Gentraco,CTCP Gentraco
2137,Getraco,CTCP Thương mại Tổng hợp Tỉnh Bà Rịa - Vũng Tàu
2138,GFC,CTCP Sản xuất Thương mại Dịch vụ GFC
2139,GGS,CTCP Giống gia súc Hà Nội
2140,GHA,CTCP Hapaco Hải Âu
2141,GiaCatAudit,Công ty TNHH Tư vấn và Kiểm toán Gia Cát
2142,GiaDinhCo,CTCP Đầu tư Phát triển Gia Định
2143,GiaDungPhongPhu,CTCP Dệt Gia dụng Phong Phú
2144,GiaiPhapS2P,CTCP Dịch vụ Kĩ thuật và Giải pháp Số S2P
2145,GiaoThong,CTCP Thiết bị Xây lắp Giao thông
2146,GiaoThong2,CTCP Công trình Giao thông 2
2147,GiaoThongHaNoi,CTCP Công trình Giao thông Hà Nội
2148,GiaoThongQN,CTCP Xây dựng Giao thông Quảng Nam
2149,GiaSangSteel,CTCP Luyện cán thép Gia Sàng
2150,GiayDepWEC,CTCP May Thêu Giày Dép W.E.C Sài Gòn
2151,GiayHaiDuong,CTCP Giầy Hải Dương
2152,GiayHaNoi,CTCP Đầu tư Xuất nhập khẩu Da giày Hà Nội
2153,GiayLamSon,CTCP Giấy Lam Sơn
2154,GiayLeHoa,CTCP Giấy tập Lệ Hoa
2155,GID,CTCP Dệt may Gia Định
2156,GLS,CTCP Chứng khoán Sen Vàng
2157,GocVietAudit,Công ty TNHH Kiểm toán Gốc Việt
2158,GoldenGate,CTCP Thương mại Dịch vụ Cổng Vàng
2159,GPBank,Ngân hàng Thương mại TNHH MTV Dầu khí Toàn cầu
2160,GrantThornton,Công ty TNHH Grant Thornton Việt Nam
2161,GreatEastern,Công ty TNHH Bảo hiểm Nhân Thọ Great Eastern Việt Nam
2162,GRL,CTCP Tiếp Vận Xanh
2163,Groupama,Công ty TNHH Bảo hiểm Tổng hợp Groupama Việt Nam
2164,GSC,CTCP Thủy điện Geruco Sông Côn
2165,GT6,Tổng Công ty Xây dựng Công trình Giao thông 6 - CTCP
2166,GTC,CTCP Trà Rồng Vàng
2167,GTI,Công ty Grand Twins International (Campuchia)
2168,H22,CTCP Đầu tư và Phát triển Nhà Hà Nội 22
2169,HAA,Công ty TNHH Kiểm toán và Tư vấn Hàn Quốc
2170,Habac,CTCP Cơ khí Xây dựng Số 2 Hà Bắc
2171,HaChau,CTCP Hà Châu
2172,HACO,CTCP Kiến Trúc Hà Nội
2173,HADIC,CTCP Tư vấn Đầu tư và Phát triển Bưu điện Hà Nội
2174,HAFIC,CTCP Tài chính Handico
2175,HaiAn,CTCP Đóng Tàu Hải An
2176,Haicatex,CTCP Dệt Công nghiệp Hà Nội
2177,HaiChau,CTCP Bánh kẹo Hải Châu
2178,HaiDuongSeed,Công ty TNHH MTV Giống cây trồng Hải Dương
2179,HaiPhongMarine,CTCP Đầu tư và Thương mại Hàng Hải Hải Phòng
2180,HaiVanNam,CTCP Hải Vân Nam
2181,HAMC,CTCP Cơ khí Ô Tô Hòa Bình
2182,Hanaka,CTCP Tập đoàn Hanaka
2183,HaNamNinh,CTCP Lương thực Hà Nam Ninh
2184,Haneco,Công ty TNHH MTV Xuất nhập khẩu và Thương mại Haneco
2185,Hanexim,CTCP Xuất nhập khẩu Hà Anh
2186,HANOIAC,Công ty TNHH Kiểm toán và Dịch vụ Tư vấn Hà Nội
2187,HaNoiFood,CTCP Chế biến Kinh doanh Lương thực Thực phẩm Hà Nội
2188,HaNoiFund,Quỹ đầu tư Chứng khoán Hà Nội
2189,HaNoiNonNuoc,CTCP Đầu tư Du lịch Hà Nội Non Nước
2190,HaNoiOptic,CTCP Kính mắt Hà Nội
2191,HaNoiTD,CTCP Phát triển Thương mại Hà Nội
2192,Hanosimex,CTCP Thương mại Hải Phòng - Hanosimex
2193,HANVIFA,Công ty TNHH Dịch vụ Tài chính và Kiểm toán Hàn Việt
2194,HAPHARCO,CTCP Dược phẩm Thiết bị Y tế Hà Nội
2195,Hapoco,CTCP Sứ Hải Dương
2196,Haprosimex,Công ty TNHH MTV Haprosimex
2197,HapuIndus,CTCP Công nghiệp Hapulico
2198,HAPULICO,CTCP Đầu tư Bất động sản Hapulico
2199,HARATOUR,CTCP Dịch vụ Du lịch Đường sắt Hà Nội
2200,HARUTOUR,CTCP Du lịch Cao su Hàm Rồng
2201,HASCOM,CTCP Thép và Cơ khí Vật liệu Xây dựng Hải Phòng
2202,HATEXCO,Công ty TNHH MTV Dệt 19/5 Hà Nội
2203,HaThanhAudit,Công ty TNHH Kiểm toán và Tư vấn Hà Thành
2204,HaTienKienGiang,CTCP Xi măng Hà Tiên Kiên Giang
2205,HBB,Ngân hàng TMCP Nhà Hà Nội
2206,HBI,CTCP HBI
2207,HD3,CTCP Đầu tư phát triển Nhà và Đô thị MHDI3
2208,HDBS,CTCP Chứng khoán HDB
2209,HDCC1,CTCP Xây dựng Số 1 Hải Dương
2210,HDLinvest,CTCP Thương mại và Đầu tư HDL
2211,HDSAISON,Công ty Tài chính TNHH HD Saison
2212,HDTAudit,Công ty TNHH Kiểm toán HDT Việt Nam
2213,Heco,CTCP Tư vấn Thiết kế Đường bộ
2214,Hemco,CTCP Học liệu Giáo dục Hà Nội
2215,HFIC,Công ty Đầu tư Tài chính Nhà nước Thành phố Hồ Chí Minh
2216,HFT,CTCP Chứng khoán Pinetree
2217,HHA,CTCP Văn phòng phẩm Hồng Hà
2218,HHD,CTCP Kinh doanh Phát triển Nhà và Đô thị Hà Nội
2219,HHL,CTCP Hồng Hà Long An
2220,HIC,CTCP Đầu tư và Xây dựng Số 1 Hà Nội
2221,Hidico,CTCP Đầu tư Phát triển Nhà và Khu công nghiệp Đồng Tháp
2222,HienLongAudit,Công ty TNHH Kiểm toán Tư vấn Hiển Long
2223,HiepPhuoc,Công Ty TNHH Thương mại Dịch vụ In Ấn Hiệp Phước
2224,HiepThanh,CTCP Hiệp Thành
2225,HimLam,CTCP Him Lam
2226,HIS,CTCP Đầu tư và Kinh doanh Thương mại Vinaconex
2227,HN184,CTCP 18-4 Hà Nội
2228,HNC,CTCP Xi măng Hữu Nghị
2229,HNInvest,CTCP Đầu tư Bất động sản Hà Nội
2230,HNX,Sở Giao dịch Chứng khoán Hà Nội
2231,HoaBinh,CTCP Hòa Bình
2232,HoaChat,CTCP Hóa Chất
2233,HoaChatCanTho,CTCP Phân bón và Hóa chất Cần Thơ
2234,Hoachatmiennam,CTCP Hóa chất Miền Nam
2235,HoaChatViSinh,CTCP Công nghiệp Hóa chất và Vi sinh
2236,HoaDuocVN,CTCP Hóa dược Việt Nam
2237,HoaMinhDuc,CTCP Hóa chất Minh Đức
2238,HoangGiaSCCT,Công ty TNHH Tư vấn Luật và Kiểm toán Hoàng Gia - SCCT
2239,HoangHac,CTCP Hoàng Hạc
2240,HoangLongAn,CTCP Hoàng Long Long An
2241,HoangThang,Công ty TNHH Hoàng & Thắng
2242,HoBon,CTCP Thủy điện Hồ Bốn
2243,HOMECREDIT,Công ty Tài chính TNHH MTV Home Credit Việt Nam
2244,Honeyboy,CTCP Honeyboy
2245,HongDuc,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kinh tế Hồng Đức
2246,HongHaAudit,Công ty TNHH Kiểm toán Hồng Hà
2247,HongHaInvest,CTCP Đầu tư và Phát triển Hồng Hà
2248,HongLeong,Ngân hàng TNHH MTV Hong Leong Việt Nam
2249,HongNam,CTCP Cơ khí Hồng Nam
2250,HOPACO,CTCP Giấy Hoàng Văn Thụ
2251,HopNhat,CTCP Hợp Nhất Việt Nam
2252,HopThinh,CTCP Viglacera Hợp Thịnh
2253,HOSE,Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh
2254,HPA,CTCP Thủy tinh Hưng Phú
2255,HPAuditing,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán HP
2256,HPE,CTCP Điện tử Chuyên dụng Hanel
2257,HPHoatHinhVN,Công ty TNHH MTV Hãng phim Hoạt hình Việt Nam
2258,HPL,CTCP Bến xe Tàu Phà Cần Thơ
2259,HPR,CTCP Đầu tư Xây dựng Hồng Phát
2260,HPRAILCO,CTCP Toa xe Hải Phòng
2261,HPS,CTCP Đá Xây dựng Hòa Phát
2262,HPTourism,CTCP Du lịch Hải Phòng
2263,HQM,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân Mê Kông
2264,HRG,CTCP Cao su Hà Nội
2265,HRS,CTCP Chứng khoán Việt Nam Gateway
2266,HSAC,Công ty TNHH Kiểm toán và Tư vấn Hoàng Sao
2267,HSBC,Ngân hàng TNHH MTV HSBC (Việt Nam)
2268,HSC,CTCP Hacinco
2269,HSKAudit,Công ty TNHH Kiểm toán HSK Việt Nam
2270,HSSC,CTCP Chứng khoán Hà Nội
2271,HST,CTCP Phát hành sách và Thiết bị Trường học Hưng Yên
2272,HT2,CTCP Xi măng Hà Tiên 2
2273,HTB,CTCP Xây dựng Huy Thắng
2274,HTCJC2,CTCP Công trình Giao thông 2 Hà Nội
2275,HTS,CTCP Thép Hương Thịnh
2276,HUD,Tổng Công ty Đầu tư Phát triển Nhà và Đô Thị
2277,Hudeco,CTCP Đầu tư và Phát triển Giáo dục HUDECO
2278,HUDKienGiang,Công ty TNHH Đầu tư và Phát triển Nhà Kiên Giang
2279,Humic,CTCP Phân hữu cơ HUMIC Quảng Ngãi
2280,HungPhu,CTCP Hưng Phú
2281,HuongGiangCIC,CTCP Tư vấn Đầu tư và Xây dựng Hương Giang
2282,HUTIC,CTCP Xây lắp Bưu điện Huế
2283,HuuNghiDaNang,CTCP Sản xuất Thương mại Hữu Nghị Đà Nẵng
2284,HuuNghiNgheAn,CTCP Hữu Nghị Nghệ An
2285,HuuToan,CTCP Hữu Toàn
2286,HVAC,Công ty TNHH Kiểm toán Hùng Vương
2287,HVB,CTCP Bảo hiểm Hùng Vương
2288,HVC,CTCP Hưng Vượng
2289,HVCapital,CTCP Quản lý Quỹ KIM Việt Nam
2290,HVS,CTCP Chứng khoán HVS Việt Nam
2291,IACAudit,Công ty TNHH Kiểm toán Tư vấn Độc Lập
2292,IBFM,CTCP Quản lý Quỹ Đầu Tư Đỏ
2293,ICJC,CTCP Đầu tư Xây lắp Thương mại 1
2294,ICL,CTCP Xuất nhập khẩu Vĩnh Long
2295,ICPC,CTCP Hàng Gia dụng Quốc tế
2296,IDICOICT,CTCP Đầu Tư Xây dựng và Du lịch IDICO
2297,IDN,CTCP In và Dịch vụ Đà Nẵng
2298,IDPCo,CTCP I.D.P
2299,IETC,CTCP Kinh doanh Thiết bị Công Nghiệp
2300,IFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Quốc tế
2301,IFMC,CTCP Quản lý Quỹ Quốc tế
2302,IGL,Công ty TNHH Kiểm toán IGL
2303,IMEXBINHDINH,CTCP Xuất nhập khẩu Bình Định
2304,IMMA,Công ty TNHH Kiểm toán IMMANUEL
2305,IMT,CTCP Xuất nhập khẩu Tổng hợp và Đầu tư Thành phố Hồ Chí Minh
2306,Inconess,CTCP Dịch vụ Hỗ trợ Doanh nghiệp và Tư vấn Đầu tư
2307,Indeco,CTCP Phát triển Hạ tầng Khu Công nghiệp Tây Ninh
2308,Indovinabank,Ngân hàng TNHH Indovina
2309,INEXIM,CTCP Xuất nhập khẩu Hàng Công nghiệp
2310,IneximDaklak,CTCP Đầu tư Xuất nhập khẩu Đăklăk
2311,ING,CTCP Đầu tư và Phát triển Xây dựng
2312,InPhucYen,CTCP In Phúc Yên
2313,InSaiGon,CTCP Thương mại Dịch vụ Quảng Cáo In Sài Gòn
2314,InSo7,CTCP In Số 7
2315,InTaiChinh,CTCP In Tài chính
2316,InThongNhat,CTCP In và Thương mại Thống Nhất
2317,InTienGiang,CTCP In Tiền Giang
2318,Intimex,CTCP Tập đoàn Intimex
2319,Intimexco,CTCP Intimex Việt Nam
2320,InTranPhu,CTCP In Trần Phú
2321,InVanHoaPham,CTCP In và Văn Hóa Phẩm
2322,INVESTCOM,CTCP Đầu tư Investcom
2323,INVESTREAL,CTCP Đầu tư và Kinh doanh Bất động sản
2324,IPAM,Công ty TNHH MTV Quản lý Quỹ đầu tư Chứng khoán I.P.A
2325,IPC,Công ty TNHH MTV Phát triển Công nghiệp Tân Thuận
2326,IRS,CTCP Chứng khoán Quốc tế Hoàng Gia
2327,ISC,CTCP Chứng khoán Công nghiệp Việt Nam
2328,ITOAudit,Công ty TNHH Kiểm toán I.T.O
2329,IVAM,CTCP Quản lý Quỹ Trí tuệ Việt Nam
2330,JBC5,CTCP Vật liệu Xây dựng và Xây lắp Số 5
2331,JIVF,Công ty Tài chính TNHH MTV Quốc tế Việt Nam JACCS
2332,JPMorgan,Ngân hàng JP Morgan Chase N.A Chi Nhánh Thành phố Hồ Chí Minh
2333,JSC,CTCP Đầu tư và Xây dựng Cầu đường Hà Nội
2334,JSI,CTCP Chứng khoán Nhật Bản
2335,KAL,CTCP Nhôm Khánh Hoà
2336,KASJSC,CTCP Xây lắp và Dịch vụ Bưu điện Kiên Giang
2337,KBT,CTCP Gạch ngói Kiên Giang
2338,KCNBacGiang,Công ty Phát triển Hạ tầng Khu Công nghiệp Bắc Giang
2339,KDF,CTCP Thực phẩm Đông lạnh KIDO
2340,KGTICJC,CTCP Xây dựng Giao thông Thuỷ Lợi Kiên Giang
2341,KGU,CTCP Phát triển Đô thị Kiên Giang
2342,KHAFEED,Công ty TNHH MTV Thức ăn Chăn nuôi Khatoco
2343,Khaithacda,CTCP Khai Thác Đá Thừa Thiên Huế
2344,KhanhTan,CTCP Khánh Tân
2345,KHATOCO,CTCP In Bao bì Khatoco
2346,KHOANGSAN4,CTCP Phát triển Khoáng sản 4
2347,KhoangSanPhuYen,CTCP Khoáng sản Phú Yên
2348,KhoangSanSongDa,CTCP Khai Thác và Chế Biến Khoáng Sản Sông Đà
2349,KhoaVietTiep,CTCP Khóa Việt - Tiệp
2350,Kido,CTCP KIDO
2351,KiemNghia,CTCP Kiềm Nghĩa
2352,KienGiangPetro,CTCP Dầu khí Dương Đông Kiên Giang
2353,KienHungAudit,Công ty TNHH Kế toán Kiểm toán và Tin học Kiến Hưng
2354,KienTrucADC,CTCP Xây dựng Trang trí Kiến trúc ADC
2355,KIENTUONG,Công ty TNHH MTV Cấp thoát nước và Môi trường Kiến Tường
2356,Kigitraco,CTCP Kinh doanh Nông Sản Kiên Giang
2357,KIGIWI,CTCP Vận tải Thuỷ Bộ Kiên Giang
2358,KimAnh,CTCP Chè Kim Anh
2359,KimKhiBacThai,CTCP Kim khí Bắc Thái
2360,KimLien,CTCP Du lịch Kim Liên
2361,KimOanh,CTCP Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh
2362,KimTuThap,CTCP Công nghệ Mới Kim Tự Tháp Việt Nam
2363,KinhDoLand,CTCP Địa Ốc Kinh Đô
2364,KIS,CTCP Chứng khoán KIS Việt Nam
2365,KISUCO,CTCP Mía Đường Kiên Giang
2366,KLS,CTCP Chứng khoán Kim Long
2367,KMF,CTCP Mirae Fiber
2368,KNITEXIM,CTCP Haprosimex Thăng Long
2369,KoreaLife,Công ty TNHH Bảo hiểm Nhân thọ Hàn Quốc Việt Nam
2370,KPC,CTCP Đầu tư Sản xuất Thương mại Kim Phong
2371,KPMG,Công ty TNHH KPMG Việt Nam
2372,KRESTON,Công ty TNHH Kiểm toán KRESTON ACA Việt Nam
2373,KSA,CTCP Công nghiệp khoáng sản Bình Thuận
2374,KSC,CTCP Muối Khánh Hòa
2375,KSG,CTCP Khoáng sản và Vật liệu Xây dựng Gia Lai
2376,KSHCPhuTho,Xí nghiệp Khai thác - Dịch vụ Khoáng sản và Hóa chất Phú Thọ
2377,KSIAudit,Công ty TNHH Kiểm toán KSI Việt Nam
2378,KSS,CTCP Khoáng sản Na Rì Hamico
2379,KTAChau,Công ty TNHH Kiểm toán Á Châu
2380,KTBX,CTCP Bến xe KonTum
2381,KTCAudit,Công ty TNHH Kiểm toán và Tư vấn Doanh Nghiệp KTC
2382,KTMienTrung,Công ty TNHH Kiểm toán Miền Trung
2383,KTQuocgia,Công ty TNHH Kiểm toán Độc lập Quốc gia Việt Nam
2384,KTSKienGiang,Công ty TNHH MTV Thương mại Dịch vụ Kiên Giang
2385,KTU,CTCP Môi trường Đô thị Kon Tum
2386,KTV,Công ty TNHH Kiểm toán KTV
2387,KTXaydungVN,Công ty TNHH Kiểm toán Tư vấn Xây dựng Việt Nam
2388,KVAC,Công ty TNHH Kiểm toán Tư vấn Khang Việt
2389,KVS,CTCP Chứng khoán Kenanga Việt Nam
2390,LacHong,CTCP Đầu tư Lạc Hồng
2391,LamDong,CTCP Xây dựng Số 1 Lâm Đồng
